,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
490,2423,4.608,11.52,1.66E-07,2.44E-07,4.33E-07,2.42E-08,0.708,0.519,0.438
491,2424,1.846,2.47,3.15E-08,3.99E-08,6.34E-08,1.42E-06,0.619,0.435,0.265
492,2428,13.376,144.928,5.27E-07,1.19E-06,4.46E-06,7.97E-06,2.342,2.052,1.706
493,2429,20.608,86.24,1.52E-06,3.10E-06,7.90E-06,4.80E-06,1.467,1.389,1.325
494,2430,11.136,28.096,5.40E-07,4.94E-07,1.17E-06,1.07E-06,0.809,0.694,0.648
495,2431,0.832,2.776,1.26E-06,2.40E-06,6.78E-06,8.00E-06,43.833,35.989,20.996
496,2432,4.48,13.632,4.26E-07,4.37E-07,1.19E-06,2.04E-06,1.427,1.259,1.168
497,2434,0.192,0.32,4.71E-08,1.78E-08,7.63E-08,0,0.678,0.553,0.212
498,2435,100.416,196.64,1.54E-06,2.30E-06,5.11E-06,7.43E-07,1.533,1.386,1.156
499,2436,24.576,33.28,9.08E-07,1.44E-06,6.84E-06,1.03E-05,6.714,6.076,4.59
500,2437,4.16,15.904,9.30E-08,1.18E-07,5.25E-07,1.94E-07,0.648,0.485,0.385
501,2438,4.992,18.4,5.56E-07,7.07E-07,1.02E-06,0,3.041,2.847,1.883
502,2440,27.264,62.944,4.24E-07,7.55E-07,1.46E-06,0,1.057,0.837,0.742
503,2441,25.12,58.4,3.72E-07,3.13E-07,8.51E-07,3.83E-06,0.53,0.384,0.355
504,2442,12.608,23.68,7.58E-08,9.74E-08,1.70E-07,0,0.594,0.479,0.374
505,2443,5.632,28.896,7.06E-07,1.41E-06,4.15E-06,8.11E-06,2.223,2.095,1.928
506,2446,4.736,8.256,4.48E-07,1.06E-06,4.06E-06,3.45E-06,4.378,3.83,3.471
507,2447,33.088,64.288,5.11E-07,7.58E-07,7.00E-07,1.47E-06,0.815,0.552,0.468
508,2448,0.44,0.768,1.34E-09,1.63E-08,1.71E-07,5.78E-07,0.845,0.755,0.647
509,2449,0.096,0.208,4.26E-09,3.80E-09,3.69E-08,2.69E-07,1.251,0.591,0.167
510,2450,11.904,45.888,2.19E-06,4.06E-06,1.20E-05,9.11E-06,8.277,7.569,6.567
511,2451,17.984,35.008,1.37E-06,2.19E-06,4.64E-06,0,3.38,2.821,2.615
512,2452,10.368,22.976,9.83E-07,1.12E-06,1.75E-06,3.23E-07,1.178,0.993,0.88
513,2453,2.88,10.112,3.25E-07,4.02E-07,4.33E-07,0,1.79,1.531,1.069
514,2454,0.632,1.359,3.91E-08,9.62E-08,1.92E-07,7.84E-07,1.158,0.897,0.698
515,2458,2.208,4.976,3.86E-07,2.73E-07,4.87E-07,4.01E-07,3.036,2.681,1.862
516,2460,1.66,4.352,1.58E-07,1.72E-07,2.32E-07,0,1.288,1.044,0.825
517,2463,0.064,0.064,1.43E-08,2.72E-08,4.34E-08,7.36E-08,2.392,0.588,0.178
518,2464,0.028,0.048,6.22E-09,1.32E-08,1.00E-08,0,2.232,0.87,0.256
519,2472,17.344,41.696,1.21E-07,2.41E-07,8.15E-07,5.58E-07,0.642,0.386,0.29
520,2476,14.4,31.68,2.43E-06,2.66E-06,3.80E-06,5.24E-07,2.066,1.754,1.652
521,2477,7.552,15.872,1.76E-07,6.65E-07,1.60E-06,0,1.528,1.306,1.278
522,2482,11.904,35.584,7.48E-07,1.23E-06,2.06E-06,1.48E-07,1.405,1.32,1.18
523,2484,4.48,11.392,3.02E-07,4.97E-07,1.76E-06,0,1.748,1.551,1.406
524,2485,0.128,0.176,5.31E-09,1.28E-08,3.48E-08,0,1.293,0.864,0.268
525,2487,0.128,0.336,1.11E-08,1.02E-08,1.12E-07,4.57E-07,2.174,1.449,0.473
526,2495,20.672,38.08,1.26E-07,2.93E-07,1.51E-06,2.48E-06,0.776,0.695,0.634
527,2496,17.472,36.512,4.33E-08,4.38E-08,2.62E-07,0,0.675,0.48,0.338
528,2500,39.168,70.912,9.55E-07,1.35E-06,3.13E-06,4.88E-06,1.467,1.24,1.166
529,2502,0.2,0.512,4.66E-09,1.44E-08,1.16E-07,5.15E-07,1.967,1.439,0.497
530,2504,0.128,0.128,0,3.05E-08,1.36E-07,2.56E-07,3.497,1.391,0.341
531,2505,18.912,65.056,3.46E-07,4.98E-07,1.43E-06,0,0.79,0.686,0.528
532,2508,24.96,29.184,7.10E-08,6.10E-08,6.07E-07,4.57E-06,0.695,0.519,0.348
533,2510,5.056,15.552,4.56E-07,7.49E-07,1.85E-06,1.10E-06,0.924,0.802,0.699
534,2511,32.192,64.288,3.34E-07,3.54E-07,5.65E-07,0,2.138,1.792,1.2
535,2512,0.112,0.359,2.01E-08,2.73E-08,1.23E-07,1.48E-07,3.519,2.141,0.664
